z1,T_K,P_kPa
0.05,176.221,200
0.05,177.569,210.254
0.05,179.068,222.142
0.05,180.734,235.997
0.05,182.589,252.237
0.05,184.658,271.394
0.05,186.968,294.152
0.05,189.55,321.397
0.05,192.441,354.289
0.05,195.686,394.371
0.05,199.334,443.718
0.05,203.447,505.16
0.05,208.096,582.618
0.05,213.133,676.905
0.05,218.329,786.452
0.05,223.694,913.727
0.05,229.236,1061.6
0.05,234.968,1233.4
0.05,240.9,1433.01
0.05,247.045,1664.92
0.05,253.416,1934.36
0.05,260.029,2247.41
0.05,266.902,2611.11
0.05,274.057,3033.68
0.05,280.657,3464.9
0.05,274.057,3033.68
0.05,266.763,2603.35
0.05,259.895,2240.72
0.05,266.763,2603.35
0.05,273.912,3024.66
0.05,280.527,3456.04
0.05,273.912,3024.66
0.05,266.604,2594.52
0.05,259.743,2233.12
0.05,266.604,2594.52
0.05,273.747,3014.4
0.05,280.379,3445.94
0.05,273.747,3014.4
0.05,266.423,2584.48
0.05,259.569,2224.48
0.05,266.423,2584.48
0.05,273.558,3002.74
0.05,280.21,3434.46
0.05,273.558,3002.74
0.05,266.218,2573.08
0.05,259.371,2214.67
0.05,266.218,2573.08
0.05,273.344,2989.5
0.05,280.018,3421.4
0.05,273.344,2989.5
0.05,265.983,2560.15
0.05,259.146,2203.54
0.05,265.983,2560.15
0.05,273.1,2974.47
0.05,279.799,3406.56
0.05,273.1,2974.47
0.05,265.717,2545.5
0.05,258.889,2190.93
0.05,265.717,2545.5
0.05,272.822,2957.45
0.05,279.549,3389.73
0.05,272.822,2957.45
0.05,265.414,2528.92
0.05,258.598,2176.66
0.05,265.414,2528.92
0.05,272.506,2938.18
0.05,279.266,3370.64
0.05,272.506,2938.18
0.05,265.069,2510.18
0.05,258.266,2160.53
0.1,161.671,200
0.1,162.984,210.254
0.1,164.45,222.142
0.1,166.089,235.997
0.1,167.923,252.237
0.1,169.979,271.394
0.1,172.289,294.152
0.1,174.888,321.397
0.1,177.819,354.289
0.1,181.131,394.371
0.1,184.882,443.718
0.1,189.143,505.16
0.1,193.994,582.618
0.1,199.285,676.905
0.1,204.776,786.452
0.1,210.472,913.727
0.1,216.381,1061.6
0.1,222.51,1233.4
