T_K,x1,y1,P_kPa
298,0.02,0.158924,3.68286
298,0.06,0.354569,4.61671
298,0.1,0.471993,5.43241
298,0.14,0.551664,6.15927
298,0.18,0.610282,6.81885
298,0.22,0.655987,7.42723
298,0.26,0.693212,7.99659
298,0.3,0.724575,8.53622
298,0.34,0.751717,9.0533
298,0.38,0.775717,9.55341
298,0.42,0.797314,10.041
298,0.46,0.817027,10.5195
298,0.5,0.835231,10.9917
298,0.54,0.852206,11.4599
298,0.58,0.86816,11.9259
298,0.62,0.883254,12.3912
298,0.66,0.897614,12.8569
298,0.7,0.911339,13.3241
298,0.74,0.924506,13.7935
298,0.78,0.937181,14.2659
298,0.82,0.949415,14.7418
298,0.86,0.96125,15.2216
298,0.9,0.972722,15.7058
298,0.94,0.983861,16.1947
298,0.98,0.994693,16.6884
308,0.02,0.148921,6.47448
308,0.06,0.337188,7.99736
308,0.1,0.452895,9.32646
308,0.14,0.532594,10.5098
308,0.18,0.591861,11.5826
308,0.22,0.638446,12.5714
308,0.26,0.676633,13.496
308,0.3,0.70898,14.3715
308,0.34,0.737101,15.2097
308,0.38,0.762067,16.0197
308,0.42,0.784614,16.8088
308,0.46,0.80526,17.5825
308,0.5,0.824383,18.3455
308,0.54,0.842264,19.1014
308,0.58,0.859114,19.853
308,0.62,0.875095,20.6029
308,0.66,0.890334,21.353
308,0.7,0.904931,22.1048
308,0.74,0.918966,22.8598
308,0.78,0.932503,23.6188
308,0.82,0.945594,24.383
308,0.86,0.958284,25.153
308,0.9,0.970608,25.9293
308,0.94,0.982595,26.7127
308,0.98,0.994271,27.5033
318,0.02,0.140305,10.9293
318,0.06,0.321798,13.3272
318,0.1,0.435696,15.4182
318,0.14,0.515218,17.2784
318,0.18,0.57493,18.9634
318,0.22,0.622214,20.515
318,0.26,0.661206,21.9646
318,0.3,0.694398,23.3362
318,0.34,0.723379,24.6482
318,0.38,0.749205,25.915
318,0.42,0.772607,27.148
318,0.46,0.794102,28.356
318,0.5,0.814068,29.5462
318,0.54,0.832786,30.7244
318,0.58,0.850468,31.8951
318,0.62,0.867279,33.062
318,0.66,0.883344,34.2283
318,0.7,0.898766,35.3965
318,0.74,0.913624,36.5685
318,0.78,0.927983,37.7461
318,0.82,0.941897,38.9307
318,0.86,0.955408,40.1234
318,0.9,0.968553,41.3252
318,0.94,0.981362,42.5369
318,0.98,0.993861,43.7591
328,0.02,0.132828,17.7891
328,0.06,0.308117,21.4481
328,0.1,0.420173,24.6362
328,0.14,0.499369,27.4698
328,0.18,0.559363,30.0345
328,0.22,0.607196,32.3941
328,0.26,0.646858,34.5967
328,0.3,0.680777,36.6789
328,0.34,0.710511,38.6689
328,0.38,0.737102,40.5889
328,0.42,0.761273,42.4559
328,0.46,0.783539,44.2836
